INFO: 2020-09-23 08:49:59,934 Episode 201	Average Score: -0.22
INFO: 2020-09-23 08:50:21,518 Episode 202	Average Score: -0.20
INFO: 2020-09-23 08:50:42,932 Episode 203	Average Score: -0.19
INFO: 2020-09-23 08:51:04,603 Episode 204	Average Score: -0.18
INFO: 2020-09-23 08:51:26,149 Episode 205	Average Score: -0.16
INFO: 2020-09-23 08:51:47,546 Episode 206	Average Score: -0.17
INFO: 2020-09-23 08:52:08,912 Episode 207	Average Score: -0.17
INFO: 2020-09-23 08:52:30,393 Episode 208	Average Score: -0.17
INFO: 2020-09-23 08:52:51,822 Episode 209	Average Score: -0.17
INFO: 2020-09-23 08:53:13,479 Episode 210	Average Score: -0.17
INFO: 2020-09-23 08:53:35,774 Episode 211	Average Score: -0.15
INFO: 2020-09-23 08:53:58,182 Episode 212	Average Score: -0.18
INFO: 2020-09-23 08:54:20,205 Episode 213	Average Score: -0.15
INFO: 2020-09-23 08:54:42,021 Episode 214	Average Score: -0.13
INFO: 2020-09-23 08:55:03,857 Episode 215	Average Score: -0.12
INFO: 2020-09-23 08:55:25,888 Episode 216	Average Score: -0.13
INFO: 2020-09-23 08:55:47,929 Episode 217	Average Score: -0.14
INFO: 2020-09-23 08:56:09,899 Episode 218	Average Score: -0.14
INFO: 2020-09-23 08:56:31,767 Episode 219	Average Score: -0.14
INFO: 2020-09-23 08:56:54,053 Episode 220	Average Score: -0.15
INFO: 2020-09-23 08:57:16,350 Episode 221	Average Score: -0.17
INFO: 2020-09-23 08:57:38,335 Episode 222	Average Score: -0.15
INFO: 2020-09-23 08:58:00,214 Episode 223	Average Score: -0.16
INFO: 2020-09-23 08:58:22,535 Episode 224	Average Score: -0.14
INFO: 2020-09-23 08:58:44,705 Episode 225	Average Score: -0.13
INFO: 2020-09-23 08:59:06,818 Episode 226	Average Score: -0.13
INFO: 2020-09-23 08:59:29,093 Episode 227	Average Score: -0.13
INFO: 2020-09-23 08:59:52,118 Episode 228	Average Score: -0.11
INFO: 2020-09-23 09:00:16,018 Episode 229	Average Score: -0.10
INFO: 2020-09-23 09:00:37,906 Episode 230	Average Score: -0.10
INFO: 2020-09-23 09:01:00,065 Episode 231	Average Score: -0.10
INFO: 2020-09-23 09:01:22,655 Episode 232	Average Score: -0.09
INFO: 2020-09-23 09:01:45,044 Episode 233	Average Score: -0.09
INFO: 2020-09-23 09:02:07,298 Episode 234	Average Score: -0.10
INFO: 2020-09-23 09:02:29,585 Episode 235	Average Score: -0.11
INFO: 2020-09-23 09:02:51,935 Episode 236	Average Score: -0.11
INFO: 2020-09-23 09:03:14,044 Episode 237	Average Score: -0.10
INFO: 2020-09-23 09:03:36,389 Episode 238	Average Score: -0.07
INFO: 2020-09-23 09:03:58,326 Episode 239	Average Score: -0.07
INFO: 2020-09-23 09:04:20,560 Episode 240	Average Score: -0.08
INFO: 2020-09-23 09:04:42,770 Episode 241	Average Score: -0.07
INFO: 2020-09-23 09:05:05,034 Episode 242	Average Score: -0.07
INFO: 2020-09-23 09:05:28,440 Episode 243	Average Score: -0.08
INFO: 2020-09-23 09:05:53,103 Episode 244	Average Score: -0.06
INFO: 2020-09-23 09:06:14,876 Episode 245	Average Score: -0.04
INFO: 2020-09-23 09:06:36,490 Episode 246	Average Score: -0.05
INFO: 2020-09-23 09:06:58,021 Episode 247	Average Score: -0.04
INFO: 2020-09-23 09:07:19,687 Episode 248	Average Score: -0.02
INFO: 2020-09-23 09:07:41,260 Episode 249	Average Score: -0.04
INFO: 2020-09-23 09:08:02,816 Episode 250	Average Score: -0.06
INFO: 2020-09-23 09:08:24,333 Episode 251	Average Score: -0.04
INFO: 2020-09-23 09:08:46,022 Episode 252	Average Score: -0.04
INFO: 2020-09-23 09:09:07,655 Episode 253	Average Score: -0.03
INFO: 2020-09-23 09:09:29,159 Episode 254	Average Score: 0.01
INFO: 2020-09-23 09:09:50,890 Episode 255	Average Score: 0.03
INFO: 2020-09-23 09:10:12,749 Episode 256	Average Score: 0.03
INFO: 2020-09-23 09:10:34,653 Episode 257	Average Score: 0.03
INFO: 2020-09-23 09:10:58,431 Episode 258	Average Score: 0.01
INFO: 2020-09-23 09:11:26,054 Episode 259	Average Score: 0.02
INFO: 2020-09-23 09:11:50,240 Episode 260	Average Score: 0.03
INFO: 2020-09-23 09:12:14,749 Episode 261	Average Score: 0.04
INFO: 2020-09-23 09:12:39,807 Episode 262	Average Score: 0.05
INFO: 2020-09-23 09:13:04,947 Episode 263	Average Score: 0.05
INFO: 2020-09-23 09:13:31,591 Episode 264	Average Score: 0.04
INFO: 2020-09-23 09:13:57,357 Episode 265	Average Score: 0.07
INFO: 2020-09-23 09:14:22,346 Episode 266	Average Score: 0.06
INFO: 2020-09-23 09:14:47,055 Episode 267	Average Score: 0.04
INFO: 2020-09-23 09:15:12,789 Episode 268	Average Score: 0.05
INFO: 2020-09-23 09:15:40,346 Episode 269	Average Score: 0.02
INFO: 2020-09-23 09:16:10,707 Episode 270	Average Score: 0.04
INFO: 2020-09-23 09:16:43,616 Episode 271	Average Score: 0.05
INFO: 2020-09-23 09:17:12,789 Episode 272	Average Score: 0.07
INFO: 2020-09-23 09:17:46,343 Episode 273	Average Score: 0.07
INFO: 2020-09-23 09:18:14,719 Episode 274	Average Score: 0.07
INFO: 2020-09-23 09:18:43,803 Episode 275	Average Score: 0.10
INFO: 2020-09-23 09:19:10,454 Episode 276	Average Score: 0.10
INFO: 2020-09-23 09:19:40,207 Episode 277	Average Score: 0.11
INFO: 2020-09-23 09:20:08,910 Episode 278	Average Score: 0.09
INFO: 2020-09-23 09:20:40,840 Episode 279	Average Score: 0.10
INFO: 2020-09-23 09:21:12,708 Episode 280	Average Score: 0.09
INFO: 2020-09-23 09:21:43,864 Episode 281	Average Score: 0.09
INFO: 2020-09-23 09:22:16,041 Episode 282	Average Score: 0.10
INFO: 2020-09-23 09:22:48,208 Episode 283	Average Score: 0.12
INFO: 2020-09-23 09:23:25,471 Episode 284	Average Score: 0.12
INFO: 2020-09-23 09:23:59,767 Episode 285	Average Score: 0.11
INFO: 2020-09-23 09:24:32,825 Episode 286	Average Score: 0.14
INFO: 2020-09-23 09:25:11,036 Episode 287	Average Score: 0.14
INFO: 2020-09-23 09:25:51,095 Episode 288	Average Score: 0.12
INFO: 2020-09-23 09:26:34,240 Episode 289	Average Score: 0.15
INFO: 2020-09-23 09:27:18,430 Episode 290	Average Score: 0.17
INFO: 2020-09-23 09:27:58,687 Episode 291	Average Score: 0.14
INFO: 2020-09-23 09:28:40,006 Episode 292	Average Score: 0.13
INFO: 2020-09-23 09:29:21,270 Episode 293	Average Score: 0.13
INFO: 2020-09-23 09:29:59,701 Episode 294	Average Score: 0.13
INFO: 2020-09-23 09:30:48,400 Episode 295	Average Score: 0.13
INFO: 2020-09-23 09:31:43,339 Episode 296	Average Score: 0.14
INFO: 2020-09-23 09:32:19,849 Episode 297	Average Score: 0.13
INFO: 2020-09-23 09:32:51,063 Episode 298	Average Score: 0.16
INFO: 2020-09-23 09:33:24,273 Episode 299	Average Score: 0.16
INFO: 2020-09-23 09:34:07,002 Episode 300	Average Score: 0.11
