INFO: 2020-09-23 10:20:19,899 Episode 401	Average Score: 0.83
INFO: 2020-09-23 10:20:41,520 Episode 402	Average Score: 0.86
INFO: 2020-09-23 10:21:03,122 Episode 403	Average Score: 0.87
INFO: 2020-09-23 10:21:24,900 Episode 404	Average Score: 0.86
INFO: 2020-09-23 10:21:46,820 Episode 405	Average Score: 0.88
INFO: 2020-09-23 10:22:11,006 Episode 406	Average Score: 0.92
INFO: 2020-09-23 10:22:32,524 Episode 407	Average Score: 0.95
INFO: 2020-09-23 10:22:54,090 Episode 408	Average Score: 0.95
INFO: 2020-09-23 10:23:15,599 Episode 409	Average Score: 0.95
INFO: 2020-09-23 10:23:36,976 Episode 410	Average Score: 0.98
INFO: 2020-09-23 10:23:58,423 Episode 411	Average Score: 0.97
INFO: 2020-09-23 10:24:20,054 Episode 412	Average Score: 0.99
INFO: 2020-09-23 10:24:41,625 Episode 413	Average Score: 0.98
INFO: 2020-09-23 10:25:03,200 Episode 414	Average Score: 0.94
INFO: 2020-09-23 10:25:24,724 Episode 415	Average Score: 0.93
INFO: 2020-09-23 10:25:46,465 Episode 416	Average Score: 0.94
INFO: 2020-09-23 10:26:08,183 Episode 417	Average Score: 0.94
INFO: 2020-09-23 10:26:29,768 Episode 418	Average Score: 0.92
INFO: 2020-09-23 10:26:51,363 Episode 419	Average Score: 0.94
INFO: 2020-09-23 10:27:13,136 Episode 420	Average Score: 0.93
INFO: 2020-09-23 10:27:34,833 Episode 421	Average Score: 0.92
INFO: 2020-09-23 10:27:58,102 Episode 422	Average Score: 0.90
INFO: 2020-09-23 10:28:21,602 Episode 423	Average Score: 0.88
INFO: 2020-09-23 10:28:43,606 Episode 424	Average Score: 0.88
INFO: 2020-09-23 10:29:05,348 Episode 425	Average Score: 0.90
INFO: 2020-09-23 10:29:27,000 Episode 426	Average Score: 0.88
INFO: 2020-09-23 10:29:49,153 Episode 427	Average Score: 0.89
INFO: 2020-09-23 10:30:14,799 Episode 428	Average Score: 0.87
INFO: 2020-09-23 10:30:44,925 Episode 429	Average Score: 0.90
INFO: 2020-09-23 10:31:14,865 Episode 430	Average Score: 0.85
INFO: 2020-09-23 10:31:44,627 Episode 431	Average Score: 0.88
INFO: 2020-09-23 10:32:14,944 Episode 432	Average Score: 0.90
INFO: 2020-09-23 10:32:44,217 Episode 433	Average Score: 0.93
INFO: 2020-09-23 10:33:13,228 Episode 434	Average Score: 0.91
INFO: 2020-09-23 10:33:43,988 Episode 435	Average Score: 0.91
INFO: 2020-09-23 10:34:15,037 Episode 436	Average Score: 0.94
INFO: 2020-09-23 10:34:44,832 Episode 437	Average Score: 0.95
INFO: 2020-09-23 10:35:15,445 Episode 438	Average Score: 0.94
INFO: 2020-09-23 10:35:46,324 Episode 439	Average Score: 0.95
INFO: 2020-09-23 10:36:17,783 Episode 440	Average Score: 0.97
INFO: 2020-09-23 10:36:47,403 Episode 441	Average Score: 0.93
INFO: 2020-09-23 10:37:09,202 Episode 442	Average Score: 0.98
INFO: 2020-09-23 10:37:31,169 Episode 443	Average Score: 0.96
INFO: 2020-09-23 10:37:54,715 Episode 444	Average Score: 1.01
INFO: 2020-09-23 10:38:19,133 Episode 445	Average Score: 1.00
INFO: 2020-09-23 10:38:45,752 Episode 446	Average Score: 1.04
INFO: 2020-09-23 10:39:10,540 Episode 447	Average Score: 1.04
INFO: 2020-09-23 10:39:35,736 Episode 448	Average Score: 1.07
INFO: 2020-09-23 10:40:01,194 Episode 449	Average Score: 1.10
INFO: 2020-09-23 10:40:27,600 Episode 450	Average Score: 1.18
INFO: 2020-09-23 10:40:55,428 Episode 451	Average Score: 1.18
INFO: 2020-09-23 10:41:22,154 Episode 452	Average Score: 1.24
INFO: 2020-09-23 10:41:48,122 Episode 453	Average Score: 1.24
